momentum_window,year,Top 1 Hold 1M,Top 1 Hold 1M Trades,Top 1 Hold 2M,Top 1 Hold 2M Trades,Top 1 Hold 3M,Top 1 Hold 3M Trades,Top 2 Hold 1M,Top 2 Hold 1M Trades,Top 2 Hold 2M,Top 2 Hold 2M Trades,Top 2 Hold 3M,Top 2 Hold 3M Trades,Top 3 Hold 1M,Top 3 Hold 1M Trades,Top 3 Hold 2M,Top 3 Hold 2M Trades,Top 3 Hold 3M,Top 3 Hold 3M Trades
5,2022,-0.362917161849862,12,-0.4008954657643391,6,-0.19464102760223345,4,-0.2514751399569658,12,-0.2472298408200302,6,0.12095858169468077,4,-0.27355631674635494,12,-0.31724056325554895,6,0.05970569639881651,4
5,2023,2.2298305641450114,12,1.2787506938968547,6,0.6565377725054948,4,1.1794201044439152,12,0.6527135915067466,6,0.6408052204272567,4,0.5609638064764277,12,0.3369943486647444,6,0.4424129960035872,4
5,2024,-0.15607622353820905,12,-0.34717562798071433,6,-0.117824525471665,4,0.25679920403907963,12,-0.013909880365779448,6,-0.0474718408055006,4,0.23862590906966163,12,0.13876617983095163,6,0.1988766913970481,4
5,2025,0.42997169886906095,12,0.9602563788059824,6,0.22437346987682139,4,1.3350475678081124,12,1.5992551278710612,6,1.0976579892216627,4,1.2420039420594877,12,1.1788488511708781,6,0.9606933470670262,4
5,2026,1.5093249334321306,5,0.7197316941272784,2,0.16671269166070668,1,1.7987764679582918,5,1.000637363909711,2,0.3768366352344201,1,1.3147470067241271,5,0.6479442169940752,2,0.2392987781069995,1
6,2016,1.3052320037286385,12,1.4962757181867041,6,1.2923000899243582,4,0.890592208564368,12,0.6141542570323288,6,0.3854654422060835,4,0.6753362925789717,12,0.584211081413682,6,0.4879670393670512,4
6,2017,0.2060786602120559,12,0.20084327665728652,6,0.43201054713040543,4,0.23100247841074828,12,0.4019501237014447,6,0.6412024391339552,4,0.32869681229996695,12,0.46141173347842646,6,0.5808609495943569,4
6,2018,-0.3774375423692218,12,-0.5205890719206606,6,-0.576266470518349,4,-0.08315044821795792,11,-0.2632371097974169,6,-0.2741240072128275,4,-0.08955196414163036,11,-0.2089495170427348,6,-0.13029793465820771,4
6,2019,0.9114252671985343,12,1.086896293440987,6,0.7612869261312267,4,0.44598226935246754,12,0.49394297376119756,6,0.4095559878614068,4,0.555978591088178,12,0.5266587236926443,6,0.3998959140919236,4
6,2020,1.3069218731846153,12,2.614966077564485,6,6.897995272620993,4,2.594074130736783,12,3.5074931183884974,6,3.0903469318612826,4,2.276252561203365,12,2.824248693737818,6,2.2881427011670143,4
6,2021,0.4593152014692552,12,0.47012412795869984,6,0.608008908550479,4,0.340301140855074,12,0.26268264412623243,6,0.35998325194831704,4,0.32370252289054635,12,0.13022187327404544,6,0.31668831476983805,4
6,2022,-0.3449502167829428,12,-0.47227856527664447,6,0.23759413632921556,4,-0.4309903474982848,12,-0.3711860389756172,6,-0.30487372015725867,4,-0.16424061265196443,12,-0.14879649893546387,6,-0.25887213436814904,4
6,2023,1.0902740998744362,12,1.1545715598395265,6,1.0344303619931403,4,0.9175878896889362,12,0.9873234836985041,6,0.7758058711403317,4,0.6324969293818141,12,0.6797155322772861,6,0.5652738420192354,4
6,2024,0.0757058705148379,12,0.2218251488771006,6,-0.117824525471665,4,-0.2049927984622486,12,-0.1383949723903023,6,0.47365936557145205,4,-0.21344344780029145,12,-0.026625900439619987,6,0.28766673806177967,4
6,2025,0.5711023573854395,12,0.9602563788059824,6,0.22437346987682139,4,1.4467674575361409,12,1.7195797227296232,6,1.0976579892216627,4,1.006979978183542,12,1.1773401990869283,6,0.6914578390216026,4
6,2026,1.6027934418041188,5,0.8913639914140876,2,0.5869605788081338,1,1.3415547197596607,5,0.7758506794876392,2,0.2755918213301458,1,1.3257075358372208,5,0.6066903232763643,2,0.2392987781069995,1
7,2016,1.502663253289084,12,1.2347064751519126,6,1.6671129044092208,4,0.5773779408250552,12,0.38025936898528023,6,0.6725904104510729,4,0.6602115638247583,12,0.5279599967257889,6,0.49616782063025666,4
7,2017,0.32531993485557176,12,-0.05871686693742206,6,0.1988227861373082,4,0.35250733335181494,12,0.3071915183820675,6,0.38661671190162816,4,0.47241413171341695,12,0.572638295821124,6,0.5327999002205572,4
7,2018,0.0770119924711632,12,-0.2528567441927645,5,-0.1614244634581986,4,-0.036309329956561665,12,-0.20948038542177572,5,-0.3099880339919199,4,0.0506513660991903,12,-0.07237417845498229,5,-0.13340648009264677,4
7,2019,1.231379491016662,12,1.0465893505590067,6,0.7612869261312267,4,0.837932787363523,12,0.5473456828691345,6,0.48509062451381846,4,0.4658755120092819,12,0.3185783323983531,6,0.416640827019922,4
7,2020,8.955837820660694,12,8.95583782066069,6,2.8816144563788275,4,2.0879111897557694,12,3.1914347837887913,6,2.4795680283540884,4,2.0171078134142744,12,2.3430346058907285,6,1.6024934538334148,4
7,2021,0.8615090679028061,12,0.47012412795869984,6,0.608008908550479,4,0.24935076349617802,12,0.1010149348554088,6,0.08813923399479928,4,-0.043356024895897405,12,0.010728536853319426,6,0.08026209817617969,4
7,2022,-0.46551478255108925,12,-0.5594041092779758,6,-0.5926579863603153,4,-0.30119458584901415,12,-0.2876443072739654,6,-0.2596834475712475,4,-0.3514769778717981,12,-0.2504760036143544,6,-0.34625070694805815,4
7,2023,0.5556283981483217,12,0.35231945916425556,6,0.5254065666957679,4,0.5604992951545229,12,0.608330689324329,6,0.34429247966223864,4,0.4204199129613153,12,0.43197376413890054,6,0.40623100329021367,4
7,2024,-0.2911794296941913,12,0.11419686944220664,6,-0.21313939660882486,4,0.004939165223961872,12,0.32166349029373187,6,0.29584767073080775,4,0.1552392549636732,12,0.6761198880890369,6,0.20096612671358782,4
7,2025,0.5711023573854395,12,0.9602563788059824,6,0.22437346987682139,4,0.5362517164245659,12,1.2932425086397012,6,0.4069071011298133,4,1.0747091941707199,12,1.1608213710343116,6,0.8734679851791831,4
7,2026,1.7597600474878647,5,0.8913639914140876,2,0.5869605788081338,1,1.5831499432119056,5,1.000637363909711,2,0.3768366352344201,1,1.4443769127629724,5,1.011525487029075,2,0.2392987781069995,1
