date,QQQ
2018-09-17,172.33807373046875
2018-09-18,173.7635955810547
2018-09-19,173.63059997558594
2018-09-20,175.55032348632812
2018-09-21,174.59046936035156
2018-09-24,175.07598876953125
2018-09-25,175.31402587890625
2018-09-26,175.43777465820312
2018-09-27,176.9230194091797
2018-09-28,176.88491821289062
2018-10-01,177.2467041015625
2018-10-02,176.8468017578125
2018-10-03,177.03726196289062
2018-10-04,173.6383819580078
2018-10-05,171.5152587890625
2018-10-08,170.46795654296875
2018-10-09,171.02017211914062
2018-10-10,163.4988250732422
2018-10-11,161.47091674804688
2018-10-12,165.9647216796875
2018-10-15,163.95582580566406
2018-10-16,168.72569274902344
2018-10-17,168.79234313964844
2018-10-18,164.87936401367188
2018-10-19,164.7270050048828
2018-10-22,165.57432556152344
2018-10-23,164.96499633789062
2018-10-24,157.4151153564453
2018-10-25,162.86097717285156
2018-10-26,158.67184448242188
2018-10-29,155.4062042236328
2018-10-30,157.96731567382812
2018-10-31,161.6803436279297
2018-11-01,163.81300354003906
2018-11-02,161.261474609375
2018-11-05,160.86160278320312
2018-11-06,162.0802459716797
2018-11-07,167.16429138183594
2018-11-08,166.09800720214844
2018-11-09,163.29888916015625
2018-11-12,158.35765075683594
2018-11-13,158.49098205566406
2018-11-14,157.2817840576172
2018-11-15,160.03329467773438
2018-11-16,159.47158813476562
2018-11-19,154.29232788085938
2018-11-20,151.5313262939453
2018-11-21,152.68333435058594
2018-11-23,151.5789031982422
2018-11-26,155.0825958251953
2018-11-27,155.6061553955078
2018-11-28,160.6140594482422
2018-11-29,160.0903778076172
2018-11-30,161.25193786621094
2018-12-03,164.070068359375
2018-12-04,157.77691650390625
2018-12-06,158.89083862304688
2018-12-07,153.6448974609375
2018-12-10,155.25392150878906
2018-12-11,155.7680206298828
2018-12-12,157.1389923095703
2018-12-13,157.1866455078125
2018-12-14,153.35931396484375
2018-12-17,149.88424682617188
2018-12-18,150.8267822265625
2018-12-19,147.1232147216797
2018-12-20,144.99061584472656
2018-12-21,140.49684143066406
2018-12-24,137.01280212402344
2018-12-26,145.56776428222656
2018-12-27,146.13108825683594
2018-12-28,146.05467224121094
2018-12-31,147.28636169433594
2019-01-02,147.87838745117188
2019-01-03,143.047119140625
2019-01-04,149.16732788085938
2019-01-07,150.94320678710938
2019-01-08,152.3085479736328
2019-01-09,153.54977416992188
2019-01-10,153.989013671875
2019-01-11,153.42568969726562
2019-01-14,152.0698699951172
2019-01-15,155.039306640625
2019-01-16,155.01063537597656
2019-01-17,156.2328338623047
2019-01-18,157.77951049804688
2019-01-22,154.61920166015625
2019-01-23,154.8197021484375
2019-01-24,155.8222198486328
2019-01-25,157.68405151367188
2019-01-28,155.7362823486328
2019-01-29,154.265869140625
2019-01-30,158.1901092529297
2019-01-31,160.55801391601562
2019-02-01,159.88006591796875
2019-02-04,161.8660888671875
2019-02-05,163.2982635498047
2019-02-06,162.811279296875
2019-02-07,160.6248016357422
2019-02-08,160.93988037109375
2019-02-11,160.78712463378906
2019-02-12,163.16458129882812
2019-02-13,163.27915954589844
2019-02-14,163.4796600341797
2019-02-15,164.16709899902344
2019-02-19,164.49172973632812
2019-02-20,164.46311950683594
2019-02-21,163.86155700683594
2019-02-22,165.0741729736328
2019-02-25,165.67564392089844
2019-02-26,165.84754943847656
2019-02-27,165.7425537109375
2019-02-28,165.36062622070312
2019-03-01,166.50637817382812
2019-03-04,166.5349884033203
2019-03-05,166.6591339111328
2019-03-06,165.71388244628906
2019-03-07,163.68014526367188
2019-03-08,163.4319305419922
2019-03-11,166.8309783935547
2019-03-12,167.7476043701172
2019-03-13,169.0079345703125
2019-03-14,168.72146606445312
2019-03-15,170.28733825683594
2019-03-18,170.6929168701172
2019-03-19,171.26681518554688
2019-03-20,171.94595336914062
2019-03-21,174.63381958007812
2019-03-22,170.798095703125
2019-03-25,170.472900390625
2019-03-26,171.26681518554688
2019-03-27,170.1668243408203
2019-03-28,170.5589599609375
2019-03-29,171.8502960205078
2019-04-01,174.1268768310547
2019-04-02,174.786865234375
2019-04-03,175.79122924804688
2019-04-04,175.7242889404297
2019-04-05,176.63296508789062
2019-04-08,177.08253479003906
2019-04-09,176.46075439453125
2019-04-10,177.4077606201172
2019-04-11,176.98684692382812
2019-04-12,177.7521209716797
2019-04-15,177.78076171875
2019-04-16,178.3929901123047
2019-04-17,179.0147247314453
2019-04-18,179.24427795410156
2019-04-22,179.75123596191406
2019-04-23,182.0373077392578
2019-04-24,181.4634246826172
2019-04-25,182.199951171875
2019-04-26,182.36253356933594
2019-04-29,182.71649169921875
2019-04-30,181.30084228515625
2019-05-01,180.71730041503906
2019-05-02,179.93296813964844
2019-05-03,182.80255126953125
2019-05-06,181.6834259033203
2019-05-07,178.14430236816406
2019-05-08,177.6947021484375
2019-05-09,176.7381591796875
2019-05-10,176.95819091796875
2019-05-13,170.81727600097656
2019-05-14,172.69204711914062
2019-05-15,175.1311798095703
2019-05-16,176.8912353515625
2019-05-17,175.0833740234375
2019-05-20,172.127685546875
2019-05-21,173.92599487304688
2019-05-22,173.151123046875
2019-05-23,170.5015869140625
2019-05-24,170.41549682617188
2019-05-28,169.7746124267578
2019-05-29,168.37808227539062
2019-05-30,169.08592224121094
2019-05-31,166.38848876953125
2019-06-03,162.72499084472656
2019-06-04,167.30682373046875
2019-06-05,168.55029296875
2019-06-06,169.88938903808594
2019-06-07,173.17034912109375
2019-06-10,175.18856811523438
2019-06-11,175.42770385742188
2019-06-12,174.4137725830078
2019-06-13,175.4468536376953
2019-06-14,174.7007293701172
2019-06-17,175.7530059814453
2019-06-18,178.30691528320312
2019-06-19,178.97645568847656
2019-06-20,180.64077758789062
2019-06-21,180.3729705810547
2019-06-24,180.3787384033203
2019-06-25,177.28233337402344
2019-06-26,178.1067352294922
2019-06-27,178.7873992919922
2019-06-28,179.01748657226562
2019-07-01,181.43325805664062
2019-07-02,182.1522216796875
2019-07-03,183.52313232421875
2019-07-05,183.14923095703125
2019-07-08,181.86463928222656
2019-07-09,182.7753448486328
2019-07-10,184.59677124023438
2019-07-11,184.46255493164062
2019-07-12,185.52664184570312
2019-07-15,186.1210174560547
2019-07-16,185.162353515625
2019-07-17,184.25164794921875
2019-07-18,184.46255493164062
2019-07-19,183.11087036132812
2019-07-22,184.5679931640625
2019-07-23,185.77593994140625
2019-07-24,187.07968139648438
2019-07-25,185.30616760253906
2019-07-26,187.2138671875
2019-07-29,186.57156372070312
2019-07-30,185.76632690429688
2019-07-31,183.19717407226562
2019-08-01,182.2864227294922
2019-08-02,179.6022491455078
2019-08-05,173.2560272216797
2019-08-06,175.68133544921875
2019-08-07,176.63046264648438
2019-08-08,180.47462463378906
2019-08-09,178.77783203125
2019-08-12,176.72634887695312
2019-08-13,180.59922790527344
2019-08-14,175.2020263671875
2019-08-15,175.00076293945312
2019-08-16,177.80955505371094
2019-08-19,180.63755798339844
2019-08-20,179.2379608154297
2019-08-21,180.8292694091797
2019-08-22,180.24452209472656
2019-08-23,174.5406036376953
2019-08-26,177.17689514160156
2019-08-27,176.80300903320312
2019-08-28,177.43569946289062
2019-08-29,180.14866638183594
2019-08-30,179.71728515625
2019-09-03,177.9725341796875
2019-09-04,180.54168701171875
2019-09-05,183.8490447998047
2019-09-06,183.66688537597656
